Firm ID,Year,Default,WC/TA,RE/TA,EBIT/TA,ME/TA,S/TA
1,1999,0,-1.781262401,0.064048576,2.294712402,-1.472262529,-0.773068905
1,2000,0,-1.24443707,1.183653425,-0.595171865,0.763391752,-1.646494186
1,2001,0,-1.134030082,-0.976709617,-0.016249899,-0.724448634,-0.623595186
1,2002,0,-2.064973121,1.117935391,-0.627692623,-0.070709807,-1.906346165
1,2003,0,-2.171751434,-1.019897121,-0.092342091,-1.36290256,-1.209339495
1,2004,0,-0.624839707,0.409343515,1.613159083,-0.724716563,-0.142588839
2,1999,0,-0.156292118,-2.279849055,-0.908937976,-0.706711258,0.288755068
2,2000,0,-0.298583387,0.110921867,0.213546906,1.734471843,-1.352876515
2,2001,0,-1.688872326,0.433992237,0.0430439,0.350175922,-1.811052944
2,2002,0,-1.966991315,-0.700141698,0.011039897,-0.110747708,-1.789098904
2,2003,0,-0.576493326,-0.675206114,1.977513945,-0.88137283,-0.000209712
2,2004,0,-2.168915762,0.398515534,1.058396414,-1.435926803,-1.16157426
3,1999,0,-1.122097114,-1.133797417,-0.90590833,-0.884964872,-0.51321887
3,2000,0,-2.636273919,-0.880509619,-0.966293469,-0.708181729,-2.052244462
3,2001,0,-2.681475081,0.081586812,0.174265961,-0.77717714,-2.052329109
3,2002,0,-0.075487412,-1.33865816,-1.440901941,1.971401764,-1.288489443
3,2003,0,-1.461834733,-0.155724631,-0.723018726,-1.160797609,-0.663733689
3,2004,0,-1.02952227,-1.342551278,-0.00276506,0.821635152,-1.479506176
4,1999,0,-1.458594631,-0.15817787,-0.094837132,0.599360319,-1.747450292
4,2000,0,-0.596582395,-1.977081599,0.809844018,-0.802618022,-0.067805982
4,2001,0,0.386816002,0.171380696,0.559776844,-0.268487648,0.531052442
4,2002,0,-0.837163495,-0.686343092,-0.434214586,1.039170901,-1.432170427
4,2003,0,0.375832103,-0.432977804,-0.027325392,-0.81108828,0.855698602
4,2004,0,-0.528376121,-0.415610883,-0.267559754,1.434732066,-1.38480674
5,1999,0,-0.588797403,-1.079637988,-1.075090043,-0.625426541,-0.169857962
5,2000,0,-1.796707649,1.064003522,0.906956179,-1.388125215,-0.839603228
5,2001,0,-1.512379115,0.442208399,1.281798763,-0.938047424,-0.848996884
5,2002,0,-1.394463707,0.185073578,-0.830770318,0.682650929,-1.73831611
5,2003,0,-2.973458559,-0.546009379,1.285014662,-1.142718387,-2.102359698
